id,flag_a,flag_b,flag_c,flag_d,flag_e,flag_f,flag_g,flag_h,flag_i,flag_j
C01429K,1,0,0,0,1,0,0,0,0,0
C01535K,1,0,0,0,0,0,0,0,0,0
C02138K,1,0,1,1,0,0,0,1,0,0
C03786K,0,0,0,0,0,0,0,0,0,0
C16089K,1,0,0,0,0,0,0,0,0,0
C20606K,1,0,0,0,0,0,0,0,0,0
C23637K,1,0,0,0,0,0,0,0,0,0
C24076K,1,0,1,0,0,0,0,0,0,0
C36020K,1,0,1,1,1,0,0,0,0,0
C39834K,1,0,1,0,0,0,0,0,0,0
C44167K,1,0,0,0,0,0,0,0,0,0
C47238K,1,0,0,0,0,0,0,0,0,1
C47258K,0,0,0,0,0,0,0,0,0,0
C47439K,1,0,0,0,0,0,0,0,0,0
C48619K,1,0,0,0,0,0,0,0,0,0
C51250K,1,1,1,0,1,0,0,0,0,0
C52260K,1,0,1,0,0,0,0,0,0,0
C52312K,1,0,0,0,0,0,1,0,0,0
C53022K,1,0,0,0,0,0,0,0,0,0
C54074K,1,0,0,0,0,0,0,0,0,0
C55171K,1,0,0,0,1,0,0,0,0,0
C55312K,1,0,0,1,1,0,0,0,0,0
C55534K,1,0,0,0,0,0,0,0,0,0
C55617K,1,0,0,0,0,0,0,0,0,0
C56288K,1,0,0,0,0,0,0,0,0,0
C60365K,1,0,0,0,0,0,0,0,0,0
C60588K,1,0,0,0,0,0,0,0,0,0
C60832K,0,0,0,0,0,1,0,0,0,0
C65155K,1,0,0,0,0,0,0,0,0,0
C65756K,1,0,0,0,0,0,0,0,0,0
C65762K,1,0,0,0,0,0,0,0,0,0
C66673K,1,0,0,0,0,0,0,0,0,0
C66798K,0,0,1,0,0,0,0,0,0,0
C69085K,0,0,0,0,0,1,0,0,0,0
C69139K,1,0,1,0,1,0,0,0,0,0
C69777K,1,0,0,0,0,0,0,0,0,0
CA000JK,1,0,0,0,0,0,0,0,0,0
CA006BK,1,0,0,0,0,0,0,0,0,0
CA00AFK,1,0,0,0,0,0,0,0,0,0
CA00KFK,1,0,0,0,0,0,0,0,0,0
CA00LLK,1,0,0,1,1,0,1,0,1,0
CA0138K,1,0,0,0,0,0,0,0,0,0
CA01HSK,1,0,0,0,0,0,0,0,0,0
CA01JMK,1,0,0,0,0,0,0,0,0,0
CA01K4K,1,0,0,0,0,0,0,0,0,0
CA01LJK,1,0,0,0,0,0,0,0,0,0
CA01PPK,0,0,0,0,0,0,0,0,0,0
CA01UNK,1,1,0,0,1,0,0,0,0,0
CA01VEK,1,0,1,0,1,0,0,0,0,0
CA01VTK,1,0,1,0,0,0,0,0,0,0
CA021LK,1,0,0,0,0,0,0,0,0,0
CA029CK,0,0,0,0,0,0,0,0,0,0
CA02EXK,1,0,0,0,0,0,0,0,0,0
CA02FFK,1,0,0,0,0,0,0,0,0,0
CA02HKK,1,0,0,0,0,0,0,0,0,0
CA02IAK,1,0,0,0,0,0,0,0,1,0
CA02JBK,1,1,0,0,0,0,0,0,0,0
CA02MFK,1,0,0,1,0,0,0,0,0,0
CA02RZK,1,0,0,0,0,0,0,0,0,0
CA02SBK,1,0,0,0,0,0,0,0,0,0
CA035XK,1,0,0,0,0,0,0,0,0,0
CA0363K,1,0,0,0,0,0,0,0,0,0
CA037FK,1,1,0,0,0,0,0,0,0,0
CA0391K,1,0,0,0,0,0,0,0,0,0
CA03AZK,1,0,0,0,0,0,0,0,0,0
CA03D5K,1,0,1,0,0,0,0,0,0,0
CA03EIK,1,0,0,0,1,0,0,0,0,0
CA03LAK,1,0,0,0,0,0,0,0,0,0
CA03Q8K,1,0,0,0,0,0,0,0,0,0
CA040CK,1,0,0,0,0,0,0,0,0,0
CA04FZK,1,0,0,0,0,0,0,0,0,0
CA04HPK,1,0,0,0,0,0,1,0,1,0
CA04KOK,1,0,1,0,0,0,0,0,0,0
CA04LYK,0,0,0,0,0,0,0,0,0,0
CA04U4K,1,0,0,0,0,0,0,0,0,0
CA0523K,1,0,1,0,0,0,0,0,0,0
CA0555K,1,0,0,0,0,0,0,0,0,0
CA055JK,1,0,0,0,0,0,0,0,0,0
CA058MK,1,0,0,0,0,0,0,0,0,0
CA05FVK,0,0,0,0,0,0,0,0,0,0
CA05IBK,1,1,1,0,0,0,0,0,0,0
CA05WRK,1,0,1,0,0,0,0,0,0,0
CA05Z7K,1,0,0,0,0,0,0,0,0,0
CA05ZEK,1,0,0,0,0,0,0,0,0,0
CA05ZRK,1,0,0,0,0,0,0,0,0,0
CA065VK,1,0,0,0,0,0,0,0,0,0
CA06BRK,1,0,1,0,0,0,0,0,0,0
CA0769K,1,0,0,0,1,0,0,0,0,0
CA07KSK,1,0,0,0,0,1,0,0,0,0
CA07OHK,1,0,0,0,0,0,0,0,0,0
CA07XKK,1,0,0,0,0,0,0,0,0,0
CA07ZCK,1,0,0,0,0,0,0,1,0,0
CA0807K,1,0,0,0,0,0,0,0,0,0
CA080FK,1,0,0,0,0,0,0,0,0,0
CA088XK,1,0,0,0,0,0,0,0,0,0
CA08CRK,1,0,0,0,0,0,0,0,0,0
CA08FNK,1,0,0,0,0,0,0,0,0,0
CA08GJK,1,0,0,0,0,0,0,0,0,0
CA08IEK,1,0,0,0,0,0,0,0,0,0
CA08NAK,1,0,0,0,0,0,0,0,0,0
CA090WK,1,0,0,0,0,0,0,0,0,0
CA09GXK,1,0,0,0,0,0,0,0,0,0
CA0A1DK,1,0,0,0,0,0,0,0,0,0
CA0A6XK,1,0,0,0,0,0,0,0,0,0
CA0ABQK,1,0,0,0,0,0,0,0,0,0
CA0AFEK,1,0,0,0,0,0,0,0,0,0
CA0AS6K,1,0,0,0,0,0,0,0,0,0
CA0B5WK,1,0,1,0,0,0,0,0,0,0
CA0B9HK,1,0,0,0,1,0,0,0,0,0
CA0BCSK,1,0,0,0,0,0,0,0,0,0
CA0BDQK,1,0,0,0,0,0,0,0,0,0
CA0BOAK,0,0,0,0,0,0,0,0,0,0
CA0BQ5K,1,1,0,0,0,0,0,0,0,0
CA0BQWK,1,0,0,0,0,0,0,0,0,0
CA0BYJK,1,0,0,0,0,0,0,0,0,0
CA0C4BK,1,0,0,0,0,0,0,0,1,0
CA0C8AK,0,0,0,0,0,0,0,0,0,0
CA0CCNK,1,0,0,0,0,0,0,0,0,0
CA0CD4K,1,0,0,0,0,0,0,0,0,0
CA0CF4K,1,1,0,0,0,0,0,0,0,0
CA0CJQK,1,0,0,0,0,1,0,0,0,0
CA0CSWK,1,0,0,0,0,0,0,0,0,0
CA0CT6K,1,0,0,0,0,0,0,0,0,0
CA0D02K,1,0,0,0,0,0,0,0,0,0
CA0D4AK,1,0,0,0,0,0,0,0,0,0
CA0D6WK,1,0,0,0,0,0,0,0,0,0
CA0DBBK,1,0,0,0,0,0,0,0,0,0
CA0DELK,1,0,0,0,1,0,0,0,0,0
CA0DGSK,1,0,1,0,0,0,0,0,0,0
CA0DS6K,1,0,0,0,0,0,0,0,1,0
CA0DX1K,1,0,0,0,0,0,0,0,0,0
CA0E57K,1,0,1,0,0,0,0,0,0,0
CA0EA1K,1,0,0,0,0,0,0,0,0,0
CA0EC9K,1,0,0,0,0,0,0,0,0,0
CA0ELQK,0,0,0,0,0,0,0,0,0,0
CA0EN7K,1,0,0,0,0,0,0,0,0,0
CA0EONK,1,0,0,0,0,0,0,0,0,0
CA0EYCK,1,0,0,0,0,0,0,0,0,0
CA0F0AK,1,0,1,0,0,0,0,1,0,0
CA0F5VK,1,0,0,0,0,0,0,0,0,0
CA0F8WK,1,0,0,0,0,0,0,0,0,0
CA0FCWK,1,0,1,0,0,0,0,0,0,0
CA0FNFK,1,0,0,0,0,0,0,0,0,0
CA0G13K,1,0,0,0,0,0,0,0,0,0
CA0GEVK,1,0,0,0,0,0,0,0,0,0
CA0GGMK,1,0,0,0,0,0,0,0,0,0
CA0GLSK,1,0,0,0,0,0,0,0,0,0
CA0GM2K,1,0,0,0,0,0,0,0,0,0
CA0GSLK,1,0,0,0,0,1,0,0,0,0
CA0GY0K,1,0,0,0,0,0,0,0,0,0
CA0GYBK,0,0,0,0,0,0,0,0,0,0
CA0H7NK,1,0,1,0,0,0,0,0,0,0
CA0HEOK,1,0,0,0,0,0,0,0,0,0
CA0HOWK,1,0,0,0,0,0,0,0,0,0
CA0HPNK,1,0,0,0,0,0,0,0,0,0
CA0HSLK,1,0,1,0,0,1,1,0,0,0
CA0HZ6K,1,1,0,1,0,0,0,0,0,0
CA0HZJK,1,0,0,0,0,0,0,0,0,0
CA0IGNK,1,0,0,0,0,0,0,0,0,0
