id,flag_a,flag_b,flag_c,flag_d,flag_e,flag_f,flag_g,flag_h,flag_i,flag_j
C03027K,1,0,0,0,0,0,0,0,0,0
C06446K,1,0,0,0,0,0,0,0,0,0
C09939K,1,0,0,0,1,0,0,0,0,0
C19222K,1,0,0,0,0,0,0,0,0,0
C19677K,1,0,0,0,1,0,0,0,0,0
C21444K,1,0,0,0,0,0,0,0,0,0
C23396K,1,0,0,0,0,0,0,0,0,0
C24364K,1,0,1,0,0,0,0,0,0,0
C30183K,1,0,0,0,0,0,1,0,1,0
C32041K,1,0,0,0,1,0,0,0,0,0
C36140K,1,0,0,0,0,0,0,0,0,0
C37038K,1,0,1,0,1,0,0,1,0,0
C37442K,1,0,0,0,0,0,0,0,0,0
C38047K,1,0,0,0,0,0,0,0,0,0
C39028K,1,0,0,0,1,0,0,0,0,1
C39912K,1,0,1,1,1,0,0,1,0,0
C43293K,1,0,0,0,0,0,0,0,0,0
C43499K,1,0,0,0,0,0,0,0,0,0
C43953K,1,0,0,0,0,0,0,0,0,0
C48008K,1,0,0,0,0,0,0,0,0,0
C48217K,1,0,1,1,1,0,0,0,0,0
C48952K,1,0,0,0,0,0,0,0,0,0
C51131K,1,1,0,0,0,0,0,0,0,0
C53129K,1,0,0,0,0,0,0,0,0,0
C53283K,1,0,1,1,1,0,0,0,0,0
C53803K,1,0,0,0,0,0,1,0,0,0
C54209K,1,0,0,0,0,0,0,0,0,0
C54311K,1,0,0,0,0,0,0,0,0,0
C56396K,1,0,0,0,0,0,0,0,0,0
C57682K,1,0,0,0,0,0,0,0,0,0
C58660K,1,0,0,0,0,0,0,0,0,0
C58917K,1,0,0,0,0,0,0,0,0,0
C59280K,1,0,0,0,0,0,0,0,0,0
C59927K,1,0,1,0,0,0,0,0,0,0
C60371K,1,0,0,0,0,0,0,0,0,0
C60399K,1,0,0,0,0,0,0,0,0,0
C60947K,1,0,1,0,0,0,0,0,0,0
C61147K,1,1,1,1,1,0,0,0,0,0
C61741K,1,0,0,0,0,0,0,0,0,0
C61952K,1,0,0,0,0,0,0,0,0,0
C63378K,1,0,1,0,0,0,0,0,0,0
C63395K,1,0,0,0,0,0,0,0,0,0
C64336K,1,0,1,0,0,0,0,0,0,0
C65064K,1,0,1,0,0,0,1,0,0,0
C67836K,1,0,0,0,0,0,0,0,0,0
C68226K,1,0,0,0,0,0,0,0,0,0
C68402K,1,0,1,0,0,0,0,0,0,0
C69609K,1,0,1,0,0,0,0,0,0,0
CA004BK,1,0,0,0,0,0,0,0,0,0
CA004CK,1,0,0,0,0,0,0,0,0,0
CA00IYK,1,0,0,0,0,0,0,0,0,0
CA015NK,1,0,0,0,0,0,0,0,0,0
CA01FFK,1,0,0,0,0,0,0,0,0,0
CA01H9K,1,0,0,0,0,0,0,0,0,0
CA01M4K,1,0,1,0,0,0,0,0,0,0
CA01VMK,1,0,0,0,0,0,0,0,0,0
CA0269K,1,0,0,0,0,0,0,0,0,0
CA0289K,1,0,0,0,0,1,0,0,0,0
CA02FBK,1,0,0,0,0,0,0,0,0,0
CA02I9K,1,0,0,0,0,0,0,0,0,0
CA02JFK,1,0,0,0,0,0,0,0,0,0
CA02OCK,1,0,0,0,0,0,0,0,0,0
CA02TNK,1,0,0,0,0,0,0,0,0,0
CA0352K,1,0,0,0,0,0,0,0,0,0
CA03FLK,1,0,0,0,0,0,0,0,0,0
CA03L9K,0,0,0,0,0,0,0,0,0,0
CA03P2K,0,0,0,0,0,0,0,0,0,0
CA03W5K,1,0,0,0,0,0,0,0,0,0
CA0425K,1,0,0,0,0,0,0,0,0,0
CA04PQK,1,1,0,0,1,0,1,0,0,0
CA053NK,1,0,0,0,0,0,0,0,0,0
CA05E7K,0,0,0,0,0,0,0,0,0,0
CA05EYK,1,0,0,0,0,0,0,0,0,0
CA05LFK,1,0,0,0,0,0,0,0,0,0
CA05P9K,0,0,0,0,0,0,0,0,0,0
CA05U9K,1,0,0,0,0,0,0,0,0,0
CA05WIK,1,0,0,0,0,0,0,0,0,0
CA05ZSK,1,1,0,0,1,0,0,0,0,0
CA068ZK,0,0,0,0,0,0,0,0,0,0
CA06GRK,1,0,0,0,0,0,0,0,0,0
CA06H0K,1,0,0,0,0,0,0,0,0,0
CA06LXK,1,0,1,1,0,0,0,0,0,0
CA06TDK,1,1,0,0,0,0,0,0,0,0
CA06WIK,1,0,0,0,0,0,0,0,0,0
CA06X1K,1,1,0,0,0,0,0,0,0,0
CA06XWK,1,1,0,0,0,0,0,0,0,0
CA079AK,1,0,0,0,0,0,0,0,0,0
CA07CKK,1,0,0,0,0,0,0,0,0,0
CA07FIK,1,0,0,0,0,0,0,0,0,0
CA07M3K,0,0,0,0,0,0,0,0,0,0
CA07RHK,1,0,0,0,0,0,0,0,0,0
CA080RK,1,0,0,0,0,0,0,0,0,0
CA082LK,1,0,0,0,0,0,0,0,0,0
CA083LK,0,0,0,0,0,0,0,0,0,0
CA0852K,1,0,1,0,0,0,0,0,0,0
CA08ABK,1,0,0,0,0,0,0,0,0,0
CA08DGK,0,0,0,0,0,0,0,0,0,0
CA08DMK,1,0,0,0,0,0,0,0,0,0
CA08EPK,1,0,0,0,0,0,0,0,0,0
CA08FRK,1,0,0,0,0,0,0,0,0,0
CA08HBK,1,0,0,0,0,0,0,0,0,0
CA08STK,1,0,0,0,0,0,0,0,0,0
CA08ZVK,1,0,0,0,0,0,0,0,0,0
CA092GK,1,0,0,0,0,0,0,0,1,0
CA09XQK,1,0,0,0,0,0,0,0,0,0
CA0AANK,1,1,1,0,1,0,0,0,0,0
CA0AOGK,0,0,0,0,0,0,0,0,0,0
CA0AT5K,1,0,1,1,1,0,0,0,0,0
CA0ATMK,1,0,0,0,0,0,0,0,0,0
CA0AVHK,1,0,1,0,0,0,0,0,0,0
CA0B1RK,1,0,0,0,0,0,0,0,0,0
CA0BECK,1,1,0,0,0,0,0,0,0,0
CA0BMUK,1,0,0,0,0,0,0,0,0,0
CA0BV8K,0,0,0,0,0,0,0,0,0,0
CA0CA1K,1,0,1,0,0,0,0,0,0,0
CA0CASK,1,0,0,0,0,0,0,0,0,0
CA0CGCK,1,1,0,0,1,0,0,0,0,0
CA0CM2K,0,0,0,0,0,0,0,0,0,0
CA0CZ1K,1,0,0,0,0,0,1,0,1,0
CA0DAVK,1,0,0,0,0,0,0,0,0,0
CA0DD3K,1,0,0,0,0,1,0,0,0,0
CA0DW0K,1,0,0,0,1,0,0,0,0,0
CA0DYOK,1,0,0,0,0,0,0,0,0,0
CA0DYWK,1,0,0,0,0,0,0,0,0,0
CA0EBRK,1,0,0,0,0,0,0,0,0,0
CA0ECGK,1,1,0,0,0,0,0,0,0,0
CA0EENK,1,0,0,0,0,0,0,0,0,0
CA0EH0K,1,0,1,1,0,0,0,0,1,0
CA0EXAK,1,0,0,0,0,0,0,0,0,0
CA0F2HK,1,0,0,0,0,0,1,0,1,0
