id,flag_a,flag_b,flag_c,flag_d,flag_e,flag_f,flag_g,flag_h,flag_i,flag_j
C01034K,1,0,0,0,0,0,0,0,0,0
C04000K,1,0,1,1,0,0,0,1,0,0
C13854K,1,0,0,0,0,0,0,0,0,0
C15036K,1,0,0,0,0,0,0,0,0,0
C16193K,1,0,0,0,0,0,0,0,0,0
C18126K,1,0,0,0,0,0,0,0,0,0
C19355K,1,0,0,0,0,0,0,0,0,0
C20285K,1,0,0,0,0,0,0,0,0,0
C22707K,1,0,0,1,1,0,0,0,0,0
C24166K,1,0,1,0,0,0,0,0,0,0
C39909K,1,0,0,0,0,0,0,0,0,0
C41337K,1,0,0,0,0,0,0,0,0,0
C43178K,1,0,0,1,0,0,0,0,0,0
C45444K,1,0,1,0,0,0,0,0,0,0
C45515K,1,0,0,0,0,0,0,0,0,0
C45731K,1,0,0,0,0,0,0,0,0,0
C46724K,1,0,0,0,0,0,0,0,0,0
C50519K,1,0,0,0,0,0,0,0,0,0
C52860K,1,0,0,0,0,0,0,0,0,0
C53300K,1,0,0,0,0,0,0,0,0,0
C53736K,1,0,0,0,1,0,0,0,0,0
C54162K,1,0,0,0,0,0,0,0,0,0
C57643K,1,0,0,0,0,0,0,0,0,0
C62150K,0,0,0,1,0,0,0,0,0,0
C62619K,1,0,1,0,0,0,0,0,0,0
C62709K,1,0,0,0,0,0,0,0,0,0
C62970K,1,1,1,1,1,0,0,0,0,1
C63662K,1,0,0,0,0,0,0,0,0,1
C63917K,1,0,1,0,0,0,0,0,0,0
C64334K,1,0,0,0,0,0,0,0,0,0
C64839K,1,0,1,0,0,0,0,1,0,0
C64950K,1,0,0,0,0,0,0,0,0,0
C65229K,1,0,0,0,0,0,0,0,0,0
C65370K,1,0,1,0,1,0,0,0,0,0
C67837K,1,0,0,0,0,0,0,0,0,0
C69360K,1,0,0,0,0,0,0,0,0,0
CA0055K,1,0,0,0,0,0,1,0,0,0
CA00FAK,1,0,0,0,0,1,0,0,0,0
CA00G6K,1,0,0,0,0,0,0,0,0,0
CA00J3K,1,0,0,0,0,0,0,0,0,0
CA00LBK,1,0,0,0,0,1,0,0,0,0
CA00OKK,1,0,0,0,0,0,0,0,0,0
CA010PK,1,0,1,1,0,0,0,0,0,0
CA0122K,1,0,0,0,0,0,0,0,0,0
CA0199K,0,0,0,0,0,0,0,0,0,0
CA01I7K,1,0,0,1,0,0,0,0,0,0
CA01MLK,1,0,0,0,0,0,0,0,0,0
CA01PVK,1,0,0,0,0,0,0,0,0,0
CA01Q7K,1,0,0,0,0,0,0,0,0,0
CA01VKK,1,0,0,0,0,1,0,0,0,0
CA025XK,1,0,0,0,0,0,0,0,0,0
CA029MK,1,0,0,0,0,0,0,0,0,0
CA029QK,1,0,1,0,0,1,1,0,0,0
CA02QYK,1,0,0,0,0,0,0,0,0,0
