id,flag_a,flag_b,flag_c,flag_d,flag_e,flag_f,flag_g,flag_h,flag_i,flag_j
C00144K,1,0,0,0,0,0,0,0,0,0
C02399K,1,0,0,0,0,0,0,0,0,0
C04706K,1,0,0,0,0,0,0,0,0,0
C06399K,1,0,0,0,0,0,0,0,0,0
C13162K,1,0,0,0,0,0,0,0,0,0
C13176K,1,0,0,0,1,0,0,1,0,0
C13374K,1,0,0,0,0,0,0,0,0,0
C14404K,1,0,0,0,0,0,0,0,0,0
C14502K,1,0,0,0,1,0,0,0,0,0
C15499K,1,0,0,0,0,0,0,0,0,0
C16048K,0,1,0,0,0,0,0,0,0,0
C17877K,1,0,0,0,0,0,0,0,0,0
C24238K,1,0,0,0,0,0,0,0,0,0
C24528K,1,0,0,0,0,0,0,0,0,0
C26860K,0,0,1,0,0,0,0,0,0,0
C28323K,1,0,0,0,1,0,0,0,0,0
C37230K,1,0,1,0,0,0,0,0,0,0
C38655K,1,0,0,0,0,0,0,0,0,0
C41637K,1,0,0,0,1,0,0,0,0,0
C42780K,1,0,1,0,0,0,0,0,0,0
C43395K,1,0,0,0,0,0,0,0,0,0
C46259K,1,0,0,1,0,0,0,0,0,0
C48805K,1,0,0,0,0,0,0,0,1,0
C49350K,1,0,0,0,0,0,0,0,0,0
C50995K,1,0,0,0,0,0,0,0,0,0
C52309K,1,0,0,0,0,0,0,0,0,0
C53272K,1,0,1,0,0,0,0,0,0,0
C54412K,1,0,0,0,0,0,0,0,0,0
C58241K,1,0,1,1,1,0,0,0,0,0
C62016K,0,0,0,0,0,1,0,0,0,0
C62599K,1,0,1,0,0,0,0,0,0,0
C64102K,1,0,0,0,0,0,0,0,0,0
C64103K,1,0,0,0,0,0,0,0,0,0
C64454K,1,0,1,1,0,0,0,0,0,0
C64732K,1,0,1,0,0,0,0,0,0,0
C65223K,1,0,0,0,0,0,0,0,0,0
C65348K,1,0,0,0,0,0,0,0,0,0
C65670K,1,0,0,0,0,0,0,0,0,0
C65897K,1,0,0,0,0,0,0,0,0,0
C66003K,1,1,0,0,1,0,0,0,0,0
C66122K,1,0,0,0,0,0,0,0,0,0
C67147K,1,0,0,0,0,0,0,0,0,0
C67424K,1,0,0,0,0,0,0,0,0,0
C68146K,1,0,0,0,0,0,0,0,0,0
C68624K,1,1,0,0,0,0,0,0,0,0
C69028K,1,0,0,0,1,0,0,0,0,0
C69530K,1,0,1,0,0,0,0,0,0,0
CA000FK,1,0,0,0,0,1,1,0,0,0
CA0051K,1,0,0,1,0,0,0,0,0,0
CA005PK,1,0,0,0,0,0,0,0,0,0
CA00Z0K,1,0,0,0,0,0,0,0,0,0
CA013LK,1,0,1,0,0,0,0,0,1,0
CA018KK,1,0,0,0,0,0,0,0,0,0
CA01BDK,1,0,0,0,0,0,0,0,0,0
CA01P3K,1,0,0,0,0,0,0,0,0,0
CA01PQK,1,0,0,0,0,0,0,0,0,0
CA01VYK,1,0,0,0,0,0,0,0,0,0
CA02BPK,0,0,0,0,0,0,0,0,0,0
CA02GWK,1,0,0,0,0,0,0,0,0,0
CA02JHK,1,0,1,1,0,0,0,0,0,0
CA02OWK,1,0,0,0,0,0,0,0,1,0
CA02S6K,1,1,0,0,0,0,0,0,1,0
CA02V8K,1,0,0,0,0,0,0,0,0,0
CA0325K,1,0,1,0,0,0,0,0,0,0
CA039NK,1,0,0,0,0,0,0,0,0,0
CA03FGK,1,0,1,0,0,0,0,0,0,0
CA03GEK,1,0,0,0,0,0,0,0,0,0
CA03XNK,1,0,0,0,0,0,0,0,0,0
CA043KK,1,0,1,0,0,0,0,0,0,0
CA04D8K,1,0,1,0,1,0,0,0,0,0
CA04GOK,1,0,0,0,0,0,0,0,0,0
CA04I7K,1,0,0,0,0,0,1,0,1,0
CA04IJK,1,0,0,0,0,0,0,0,0,0
CA04ITK,1,0,0,0,0,0,0,0,0,0
CA04MWK,0,0,0,0,0,0,0,0,0,0
CA04PKK,1,0,0,0,1,1,0,0,0,0
CA04Q7K,1,0,0,0,0,0,0,0,0,0
CA04T4K,1,0,0,0,0,0,0,0,0,0
CA04UXK,1,0,1,0,0,0,1,0,1,0
CA04XKK,1,0,0,0,0,0,0,0,0,0
CA050SK,1,0,0,0,0,0,0,0,0,0
CA05F0K,1,0,0,0,0,0,1,0,1,0
CA05G3K,1,0,0,0,0,0,0,0,0,0
CA05HIK,1,0,0,0,0,0,0,0,0,0
CA05T6K,1,1,0,0,1,0,0,0,0,0
CA05TTK,1,1,0,0,1,0,0,0,0,0
CA05VJK,1,0,0,0,0,0,1,0,0,0
CA060WK,1,0,0,0,0,0,0,0,0,0
CA0615K,1,0,0,0,0,1,0,0,0,0
CA061ZK,1,0,0,0,0,0,0,0,0,0
CA066AK,1,0,0,0,0,0,0,0,0,0
CA069GK,1,0,1,1,0,0,0,1,0,0
CA06A1K,1,0,0,0,0,0,0,0,0,0
CA06F5K,1,0,0,0,0,0,0,0,0,0
CA06QSK,1,0,0,0,0,0,0,1,0,0
CA06U1K,0,0,0,0,0,0,0,0,0,0
CA06UJK,1,0,1,0,0,0,0,0,0,0
CA0745K,1,0,0,0,0,0,0,0,0,0
CA07D6K,1,0,0,1,0,0,0,0,0,0
CA07G3K,1,0,1,0,0,0,0,0,0,0
CA07NFK,1,0,0,0,0,0,0,0,0,0
CA07PAK,1,0,0,0,0,0,0,0,0,0
CA07PNK,1,0,0,0,0,0,0,0,0,0
