id,flag_a,flag_b,flag_c,flag_d,flag_e,flag_f,flag_g,flag_h,flag_i,flag_j
C00194K,1,0,1,0,0,0,0,1,0,0
C00290K,1,0,0,0,0,0,0,0,0,0
C02221K,1,0,0,0,0,0,0,0,0,0
C04124K,1,0,0,0,0,0,0,0,0,0
C09456K,1,0,0,0,0,0,0,0,1,0
C12783K,1,0,0,0,0,0,0,0,0,0
C14118K,1,0,0,0,1,0,0,0,0,0
C14257K,1,0,0,0,1,0,0,0,1,0
C19665K,1,0,0,0,0,0,0,0,0,0
C22352K,1,0,1,0,0,0,0,0,0,0
C23191K,1,0,0,0,0,0,0,0,0,0
C24113K,1,0,0,0,0,0,0,0,0,0
C31899K,1,0,1,0,1,0,0,0,0,0
C36407K,1,0,1,1,0,0,0,1,0,0
C37730K,1,0,0,0,0,0,0,0,0,0
C40203K,1,1,0,0,1,0,0,0,0,0
C43746K,1,0,0,1,0,0,0,0,0,0
C44763K,1,0,0,0,0,0,0,0,0,0
C45844K,1,0,0,0,1,0,0,0,0,0
C46269K,1,0,1,0,0,0,0,0,0,0
C46708K,1,0,0,1,0,0,0,0,0,0
C47563K,1,0,0,0,0,0,0,0,0,0
C48188K,1,0,0,0,0,0,0,0,0,0
C48535K,0,0,0,0,0,0,0,0,0,0
C49091K,1,0,1,1,1,0,0,0,1,0
C50030K,1,0,0,0,0,0,0,0,0,0
C51066K,1,1,0,0,0,0,0,0,0,0
C51223K,1,0,0,0,0,0,0,0,0,0
C51913K,0,0,0,0,0,0,0,0,0,0
C52462K,0,0,0,0,0,0,0,0,0,0
C55566K,1,0,0,1,0,0,0,0,0,0
C55789K,1,0,0,0,0,0,0,0,0,0
C55809K,1,0,0,0,0,0,0,0,0,0
C55951K,1,0,0,0,0,0,0,0,0,0
C58128K,1,0,0,0,0,0,0,0,0,0
C59147K,1,0,0,0,0,0,0,0,0,0
C60347K,1,0,0,0,0,0,0,0,0,0
C61208K,1,0,0,0,0,0,0,0,0,0
C61277K,1,0,0,0,0,0,0,0,0,0
C61414K,1,0,0,0,0,0,0,0,0,0
C62247K,1,0,1,1,1,0,0,0,0,0
C62463K,1,0,1,0,0,0,0,0,0,0
C62640K,1,0,0,0,0,0,0,0,0,0
C62715K,0,0,0,0,0,1,0,0,0,0
C63124K,1,0,0,0,0,0,0,0,0,0
C64481K,1,0,0,0,0,0,0,0,0,0
C64770K,1,0,0,0,0,0,0,0,0,0
C65314K,1,1,1,1,1,0,0,0,0,0
C65603K,0,0,0,0,0,1,0,0,0,0
C66002K,1,0,1,0,0,0,0,0,0,0
C67092K,1,0,0,0,0,0,0,0,0,0
C69182K,1,0,0,0,0,0,0,0,0,0
C69610K,1,0,1,1,1,0,0,0,1,0
CA000HK,1,0,1,1,0,0,0,0,1,0
CA001WK,1,0,0,0,0,0,0,0,0,0
CA003AK,1,0,0,0,0,0,0,0,0,0
CA006OK,1,1,0,0,1,0,0,0,0,0
CA0090K,1,0,0,0,0,0,0,0,0,0
CA00RPK,1,1,0,0,0,0,0,0,0,0
CA018DK,1,0,0,0,0,0,0,0,0,0
CA019HK,1,0,0,0,0,0,0,0,0,0
CA01M8K,1,0,0,0,0,0,0,0,0,0
CA01MDK,1,0,0,0,0,0,0,0,0,0
CA01MQK,1,0,0,0,0,0,0,0,0,0
CA01PFK,1,0,0,0,0,0,0,0,0,0
CA01T1K,1,0,0,0,0,0,0,0,0,0
CA01TAK,1,0,0,0,0,0,0,0,0,0
CA026VK,1,0,0,0,0,1,1,0,0,0
CA028QK,0,0,0,0,0,0,0,0,0,0
CA02ANK,1,0,0,0,0,0,0,0,0,0
CA02JDK,1,0,0,0,0,0,0,0,0,0
CA02LQK,1,0,0,0,0,0,0,0,0,0
CA02MQK,1,0,0,0,0,0,0,0,0,0
CA02RPK,0,0,0,0,0,0,0,0,0,0
CA02ZCK,1,0,1,1,0,0,0,0,0,0
CA038XK,1,0,0,0,0,0,0,0,0,0
CA03AMK,1,0,1,0,0,0,0,0,0,0
CA03D0K,1,0,0,0,0,0,0,0,0,0
CA03OSK,1,0,0,0,0,0,0,0,0,0
CA04K0K,1,0,0,1,0,1,0,0,0,0
CA04PZK,1,0,0,0,0,0,0,0,0,0
CA04TJK,1,0,0,0,0,0,0,0,0,0
CA04TWK,1,0,0,0,0,0,0,0,0,0
CA04UHK,1,0,0,0,0,0,0,0,0,0
CA04YZK,1,0,0,0,0,0,0,0,0,0
CA052KK,1,0,0,0,0,0,0,0,0,0
CA056XK,1,0,0,0,0,0,0,0,0,0
CA0586K,1,0,0,1,0,0,1,0,1,0
CA05AZK,1,0,0,0,0,0,0,0,0,0
CA05LDK,0,0,0,0,0,0,0,0,0,0
CA05P7K,1,0,0,0,0,0,0,0,0,0
CA05Q5K,1,0,0,0,0,0,0,0,0,0
CA05R4K,1,0,1,1,0,0,0,0,0,0
CA05SUK,1,0,0,0,0,0,0,0,0,0
CA05ZHK,1,0,0,0,0,0,1,0,0,0
CA06EPK,1,0,0,0,0,0,0,0,0,0
CA06FYK,1,0,0,0,0,0,0,0,0,0
CA06GUK,1,0,0,0,0,0,0,0,0,0
CA06LBK,1,0,0,0,0,0,0,0,0,0
CA06MJK,1,0,0,0,0,0,1,0,0,0
CA072VK,1,0,0,0,0,0,0,0,0,0
CA07OGK,1,0,0,0,0,0,0,0,0,0
CA07Y9K,1,0,0,0,0,0,0,0,0,0
CA083HK,1,0,1,1,0,0,0,0,0,0
CA0854K,1,0,0,0,0,0,0,0,0,0
CA08BHK,1,0,0,0,0,0,0,0,0,0
CA08U8K,1,0,0,0,0,0,0,0,0,0
CA08X6K,1,0,0,0,0,0,0,0,0,0
CA08ZUK,1,0,0,0,0,0,0,0,0,0
CA09BIK,1,0,0,0,0,0,1,0,0,0
CA09HZK,1,0,0,0,0,0,1,0,1,0
CA0AE0K,1,0,0,0,0,0,0,0,0,0
CA0AWNK,1,0,0,0,0,0,1,0,0,0
CA0AYKK,1,0,0,0,0,0,0,0,0,0
CA0BA5K,1,0,0,0,0,0,0,0,0,0
CA0BE0K,1,0,0,0,0,0,0,0,0,0
CA0BIUK,1,0,0,0,0,0,0,0,0,0
CA0BTVK,1,0,0,0,0,0,0,0,0,0
CA0BYWK,1,0,0,0,0,0,0,0,0,0
CA0C4UK,0,0,0,0,0,0,0,0,0,0
CA0C6UK,1,0,0,0,0,0,0,0,0,0
CA0CNGK,0,0,0,0,0,0,0,0,0,0
CA0CQFK,1,0,0,0,0,0,0,0,0,0
CA0CYLK,1,0,0,0,0,0,0,0,0,0
CA0D09K,1,0,1,1,1,0,0,0,0,0
CA0D8JK,1,0,1,0,0,0,0,0,0,0
CA0DARK,1,0,0,0,0,0,0,0,0,0
CA0DDMK,1,0,1,0,0,0,0,0,0,0
CA0DITK,0,0,0,0,0,0,0,0,0,0
CA0E08K,1,0,0,0,0,0,0,0,0,0
CA0E4XK,1,0,0,0,0,1,0,0,0,0
CA0EKKK,0,0,0,0,0,0,0,0,0,0
