id,flag_a,flag_b,flag_c,flag_d,flag_e,flag_f,flag_g,flag_h,flag_i,flag_j
C03632K,1,0,0,0,0,0,0,0,0,0
C03815K,1,0,1,0,0,0,0,0,0,0
C03969K,1,0,1,0,1,0,0,0,0,0
C04967K,1,0,0,0,0,0,0,0,0,0
C11256K,1,0,0,0,0,0,0,0,0,0
C15041K,1,0,0,0,0,0,0,0,0,0
C21946K,1,0,0,0,0,0,0,0,0,0
C25309K,1,0,1,1,1,0,0,1,0,0
C30926K,1,0,0,0,0,0,0,0,0,0
C31368K,1,0,0,0,0,0,0,0,0,0
C35390K,1,0,0,0,0,0,0,0,0,0
C36678K,1,0,0,1,1,0,0,0,1,0
C38327K,0,0,0,0,0,0,0,0,0,0
C39943K,0,0,0,0,0,1,0,0,0,0
C40577K,1,1,0,0,0,0,0,0,0,0
C40744K,1,0,0,0,0,0,0,0,0,0
C42502K,1,0,0,0,0,0,0,0,0,0
C43021K,1,0,0,0,0,0,0,0,0,0
C45219K,1,0,1,0,1,0,0,0,0,0
C46537K,1,0,0,1,1,0,0,1,0,0
C48204K,1,0,0,0,0,0,0,0,0,0
C49582K,1,0,0,0,0,0,0,0,0,0
C50035K,1,0,0,0,0,0,0,0,0,0
C50549K,1,0,0,0,0,0,0,0,0,0
C51169K,1,0,0,0,0,0,0,0,0,0
C55660K,1,0,1,0,0,0,0,0,0,0
C57184K,1,1,0,1,0,0,0,0,0,0
C57465K,1,0,0,0,0,0,0,0,0,0
C59334K,1,0,0,0,0,0,0,0,0,0
C61737K,0,0,0,0,0,0,0,0,0,0
C61997K,1,0,0,0,0,0,0,0,0,0
C62246K,1,0,1,0,0,0,0,0,0,0
C62253K,1,0,0,0,0,0,0,0,1,0
C62880K,1,0,1,0,0,0,0,0,0,0
C63669K,1,0,0,0,0,0,0,0,0,0
C63896K,1,0,0,0,0,0,0,0,0,0
C64475K,1,0,0,0,0,0,0,0,0,0
C64509K,1,0,0,0,0,0,0,0,0,0
C64613K,1,0,1,0,0,0,0,0,0,0
C66281K,1,0,0,0,0,0,0,0,0,0
C66855K,1,0,0,0,0,0,0,0,0,0
C67013K,1,0,0,0,0,0,0,0,0,0
C67655K,1,0,0,0,0,0,0,0,0,0
C68564K,0,0,0,0,0,0,0,0,0,0
C69342K,1,0,1,1,0,1,0,1,0,0
C69692K,1,0,0,0,0,0,0,0,0,0
CA0012K,1,0,0,1,0,0,0,0,1,0
CA003VK,1,0,0,0,0,0,0,0,0,0
CA004MK,1,0,1,0,0,0,0,0,0,0
CA00MNK,1,0,0,0,0,0,0,0,0,0
CA00RRK,1,0,0,0,0,0,0,0,0,0
CA00VFK,1,0,0,0,0,0,0,0,0,0
CA010XK,1,1,0,0,1,0,1,0,0,0
CA017ZK,1,0,0,0,0,0,0,0,0,0
CA019GK,1,0,0,0,0,0,0,0,0,0
CA01F9K,0,0,0,0,0,0,0,0,0,0
CA01GMK,1,0,0,0,0,0,0,0,0,0
CA01H2K,1,0,1,0,0,0,0,0,0,0
CA01LRK,1,0,0,0,0,0,0,0,0,0
CA01M0K,1,0,1,0,0,0,0,0,0,0
CA01MNK,1,0,1,0,0,0,0,0,0,0
CA01WJK,1,0,1,0,0,0,0,0,0,0
CA02ACK,1,0,1,0,0,0,0,0,0,0
CA02KHK,1,0,1,0,0,0,0,0,0,0
CA02MWK,1,0,0,0,0,0,0,0,0,0
CA02WXK,1,0,0,0,0,0,1,0,1,0
CA03M9K,0,0,0,0,0,0,0,0,0,0
CA03QYK,1,0,0,0,0,0,0,0,0,0
CA0436K,0,0,0,0,0,0,0,0,0,0
CA04ABK,1,0,0,0,0,0,0,0,0,0
CA04IGK,1,0,0,0,0,0,0,0,0,0
CA053XK,1,0,0,0,0,0,0,0,0,0
CA057DK,1,0,0,0,0,0,0,0,0,0
CA059IK,1,0,0,0,0,0,0,0,0,0
CA05DHK,0,0,0,0,0,0,0,0,0,0
CA05GTK,1,0,0,0,0,0,0,0,0,0
CA05MDK,0,0,0,0,0,0,0,0,0,0
CA05RIK,0,0,0,0,0,0,0,0,0,0
CA062ZK,1,0,0,0,0,0,0,0,0,0
CA06FOK,1,0,1,0,0,0,0,0,0,0
CA06UXK,1,0,0,0,0,0,0,0,0,0
CA070CK,1,0,0,1,0,0,0,0,0,0
CA0780K,1,0,1,0,0,0,0,0,0,0
CA07E0K,1,0,0,0,0,1,0,0,0,0
CA07IGK,1,0,1,0,0,0,0,0,0,0
CA07ODK,1,1,0,0,1,0,0,0,0,0
CA07QHK,1,0,0,0,0,0,0,0,0,0
CA082UK,1,0,0,0,0,0,0,0,0,0
CA08VLK,1,0,0,0,0,0,1,0,0,0
CA08VOK,1,0,0,0,0,0,0,0,0,0
CA09BSK,1,0,0,0,0,0,0,0,0,0
CA09K8K,1,0,0,0,0,0,0,0,0,0
CA09LWK,1,0,0,0,0,0,0,0,0,0
CA09MUK,1,0,0,0,0,0,0,0,0,0
CA09ROK,1,0,0,0,0,0,0,0,0,0
CA09X9K,0,0,0,0,0,0,0,0,0,0
CA0A6LK,1,0,0,0,0,0,0,0,0,0
CA0AAXK,1,0,0,0,0,0,0,0,0,0
CA0ALPK,1,0,0,0,0,0,0,0,0,0
CA0AW3K,1,0,0,0,0,0,0,0,0,0
CA0B2GK,1,0,0,0,0,0,0,0,0,0
CA0B4MK,1,0,0,0,0,0,0,0,0,0
CA0BBFK,1,0,0,0,0,0,0,0,0,0
CA0BEZK,1,0,0,0,0,0,0,0,0,0
CA0BPEK,1,0,0,0,0,0,0,0,0,0
CA0BSSK,1,1,0,0,1,0,0,0,0,0
CA0BT6K,1,0,0,0,0,0,0,0,0,0
CA0C3EK,1,0,1,0,0,0,0,0,0,0
CA0CB4K,1,0,0,0,0,0,0,0,0,0
CA0CFLK,1,0,0,0,0,0,0,0,0,0
CA0CVIK,1,0,0,0,0,0,0,0,0,0
CA0D4BK,0,0,0,0,0,0,0,0,0,0
CA0D5RK,1,0,0,0,0,0,0,0,0,0
CA0D9XK,1,0,0,0,0,0,0,0,0,0
CA0DIGK,1,1,0,0,1,0,0,0,0,0
CA0DM2K,1,0,0,0,0,0,0,0,0,0
CA0DQRK,1,0,0,0,0,0,0,0,0,0
CA0DTSK,1,0,0,0,1,0,0,0,0,0
CA0E5JK,0,0,0,0,0,0,0,0,0,0
CA0EV1K,1,0,0,0,0,0,0,0,0,0
CA0EVSK,1,0,0,0,0,0,0,0,0,0
CA0EY9K,1,0,0,0,0,0,0,0,0,0
CA0EZ3K,1,0,0,1,0,0,0,0,0,0
CA0EZCK,1,0,1,0,0,0,0,0,0,0
CA0F0FK,0,0,1,0,0,0,0,0,0,0
CA0F62K,1,0,1,0,0,0,0,0,0,0
CA0FGUK,1,0,0,0,0,0,0,0,0,0
CA0FJFK,1,1,0,0,0,0,0,0,0,0
CA0FM4K,1,0,0,0,0,0,0,0,0,0
CA0FSBK,1,1,0,0,1,0,1,0,0,0
CA0FX6K,1,0,0,1,0,0,0,0,0,0
CA0G0QK,1,1,0,0,1,0,0,0,0,0
CA0G71K,1,0,0,0,0,0,0,0,0,0
CA0GBWK,1,0,0,0,0,0,0,0,0,0
CA0GVDK,1,0,0,0,0,0,0,0,0,0
CA0GVQK,1,0,1,0,0,0,0,0,0,0
CA0GY9K,1,0,0,0,0,0,0,0,0,0
CA0H5GK,1,0,0,0,0,0,1,0,0,0
CA0H90K,1,0,0,0,0,0,0,0,0,0
CA0HCUK,1,0,0,0,0,0,0,0,0,0
CA0HFHK,1,0,1,0,0,0,0,0,1,0
CA0ILJK,1,0,0,0,0,0,1,0,0,0
CA0IPHK,1,0,1,0,0,0,0,0,0,0
CA0IV4K,1,0,0,1,0,0,0,0,0,0
CA0IW1K,1,0,0,0,0,0,0,0,0,0
CA0J2OK,1,0,1,0,0,0,0,0,0,0
CA0J48K,0,0,0,0,0,0,0,1,0,0
CA0J7FK,0,0,0,0,0,0,0,0,0,0
CA0J84K,1,0,0,0,0,0,0,0,0,0
CA0J92K,1,0,1,0,0,0,0,0,0,0
CA0JEMK,1,1,0,0,0,0,0,0,0,0
CA0JF0K,0,0,0,0,0,0,0,0,0,0
CA0JFJK,1,0,0,0,0,0,0,0,0,0
