id,flag_a,flag_b,flag_c,flag_d,flag_e,flag_f,flag_g,flag_h,flag_i,flag_j
C05786K,1,0,0,0,0,0,0,0,0,0
C07635K,0,0,0,0,0,0,0,0,0,0
C10061K,1,0,0,0,0,0,0,1,0,0
C11680K,1,0,0,0,0,0,0,0,0,0
C12699K,1,0,0,0,0,0,0,0,1,0
C16703K,1,0,0,0,0,0,0,0,0,0
C21179K,1,0,0,0,0,0,0,0,0,0
C22206K,1,0,0,0,0,0,0,0,0,0
C37187K,1,0,1,1,0,0,0,0,0,0
C38365K,1,0,1,0,0,0,0,1,0,0
C39468K,1,0,0,0,0,0,0,0,0,0
C41503K,1,0,0,0,0,0,0,0,0,0
C43546K,1,0,0,0,0,0,0,0,0,0
C45640K,1,0,1,0,1,0,0,0,0,0
C47837K,1,0,0,1,1,0,0,0,0,0
C47876K,1,0,1,1,1,0,1,1,0,0
C48036K,1,0,1,0,0,0,0,0,0,0
C48835K,1,0,1,0,0,0,0,0,0,0
C49190K,1,0,0,0,0,0,0,0,0,0
C51098K,1,0,1,0,0,0,0,0,0,0
C53740K,1,0,0,0,0,0,0,0,0,0
C54256K,1,0,0,0,0,0,0,0,0,0
C55714K,1,0,0,1,0,0,0,0,0,0
C56255K,1,0,0,0,0,0,0,0,0,0
C56392K,1,0,1,0,0,0,0,0,0,0
C56595K,1,1,0,0,0,0,0,0,0,0
C57718K,1,0,0,0,0,0,0,0,0,0
C57897K,1,0,0,0,0,0,0,0,0,0
C58382K,1,0,1,0,0,0,0,0,0,0
C60056K,1,0,0,0,0,0,0,0,0,0
C65914K,0,0,0,0,0,0,0,1,0,0
C67109K,1,0,1,0,0,0,0,0,0,0
C67271K,1,0,0,0,0,0,0,0,0,0
C67687K,1,0,0,0,0,0,0,0,0,0
C67779K,1,0,1,0,0,0,0,0,0,0
C69070K,1,0,0,0,0,0,0,1,0,0
CA00DZK,1,0,1,0,0,0,0,0,0,0
CA00F8K,1,1,0,0,0,0,0,0,0,0
CA00I2K,1,1,0,0,0,0,0,0,0,0
CA00TOK,1,0,0,0,0,0,0,0,0,0
CA00WYK,1,1,1,0,0,0,0,0,0,0
CA012VK,1,1,0,0,0,0,0,0,0,0
