id,flag_a,flag_b,flag_c,flag_d,flag_e,flag_f,flag_g,flag_h,flag_i,flag_j
C02263K,1,0,0,0,1,0,0,0,0,0
C03907K,0,0,0,0,1,0,0,1,0,0
C04033K,1,0,0,0,0,0,0,0,0,0
C05149K,1,0,0,0,0,0,0,0,0,0
C12983K,1,0,1,1,1,0,0,1,0,1
C14208K,1,0,1,0,1,0,0,0,0,0
C15043K,1,0,0,0,0,0,0,0,0,0
C20023K,1,0,1,1,0,0,0,0,0,0
C23986K,1,0,0,0,0,0,0,0,0,0
C27185K,1,0,0,0,0,0,0,0,0,0
C32065K,1,0,0,0,0,0,0,0,0,0
C32502K,1,0,0,0,0,0,0,0,0,0
C37121K,1,0,0,0,0,0,0,0,0,0
C41246K,1,0,0,0,0,0,0,0,0,0
C42595K,1,0,0,0,0,0,0,0,0,0
C45502K,1,0,0,0,0,0,0,0,0,0
C45554K,1,0,0,0,0,0,0,0,0,0
C45965K,1,0,1,1,1,0,0,0,0,0
C46211K,1,0,0,0,0,0,0,0,0,0
C51667K,1,0,0,0,0,0,0,0,0,0
C53469K,1,0,0,0,0,0,0,0,0,0
C54206K,1,0,0,0,0,0,0,0,0,0
C54935K,1,0,0,0,1,0,0,0,0,0
C55659K,1,0,0,0,0,0,0,0,0,0
C63799K,1,0,0,0,0,0,0,0,0,0
C63883K,1,0,0,0,0,0,0,0,1,0
C64420K,1,0,0,0,0,0,0,0,0,0
C64735K,1,0,1,1,1,0,0,0,0,0
C67235K,1,1,1,0,0,0,0,1,0,0
C67507K,1,0,0,0,0,0,0,0,0,0
C67624K,1,0,0,0,0,0,0,0,0,0
C67642K,1,0,0,0,0,0,0,0,0,0
C67750K,1,0,0,0,0,0,0,0,0,0
C67854K,1,0,0,0,0,0,0,0,0,0
C68192K,1,0,1,1,0,0,0,0,0,0
C69998K,1,0,1,0,1,0,0,0,0,0
CA006XK,1,1,0,1,0,0,0,0,0,0
CA008KK,0,0,0,0,0,0,0,0,0,0
CA00G9K,1,0,0,0,0,0,0,0,0,0
CA00HKK,0,0,0,0,0,0,0,0,0,0
CA00N4K,1,0,0,0,0,0,0,0,0,0
CA00O0K,1,0,1,0,0,0,0,0,0,0
CA00SEK,1,0,0,0,0,0,0,0,0,0
CA00TEK,0,0,0,0,0,0,0,0,0,0
CA00XNK,1,0,0,0,0,0,0,0,0,0
CA00YTK,1,0,1,0,0,0,0,0,0,0
CA011YK,1,0,0,0,1,1,0,0,0,0
CA018NK,0,0,0,0,0,0,0,0,0,0
CA01DAK,1,0,0,0,0,0,0,0,0,0
CA01UVK,1,0,0,0,0,0,0,0,0,0
CA01Y1K,1,0,1,0,0,0,0,0,0,0
CA0275K,1,0,0,0,0,0,0,0,0,0
CA02A1K,1,0,0,0,0,0,0,0,0,0
CA02DSK,1,0,0,0,0,0,0,0,0,0
CA02PJK,1,0,0,0,0,0,0,0,0,0
CA02VGK,1,0,0,0,0,0,0,0,0,0
CA02WQK,1,0,0,0,0,0,0,0,0,0
CA0313K,1,1,1,0,0,0,0,0,0,0
CA03HCK,1,0,0,0,0,0,0,0,0,0
CA03RMK,1,0,0,0,0,0,0,0,0,0
CA040MK,1,0,0,1,0,0,0,0,0,0
CA0446K,1,0,0,0,0,0,0,0,0,0
CA049MK,1,0,0,0,0,0,0,0,0,0
CA04AYK,1,1,1,0,1,0,0,0,0,0
CA04H8K,1,0,1,0,0,0,0,0,0,0
CA04KHK,1,0,0,0,0,0,0,0,0,0
CA04UKK,1,0,0,0,0,0,0,0,0,0
CA04VAK,1,0,0,0,0,0,0,0,0,0
CA050VK,1,0,0,0,0,0,0,0,0,0
CA0525K,1,0,0,0,0,0,0,0,0,0
CA055QK,0,0,0,0,0,0,0,0,0,0
CA0578K,1,1,0,0,1,0,0,0,0,0
CA057QK,1,0,0,0,0,0,0,0,0,0
CA05ENK,1,0,0,0,0,0,0,0,0,0
CA05G5K,1,0,0,0,0,0,0,0,0,0
CA05IDK,1,0,0,0,0,1,0,0,1,0
CA05TRK,1,0,0,0,0,0,0,0,1,0
CA06JZK,1,0,0,0,0,0,0,0,0,0
CA06SNK,1,0,0,0,0,0,0,0,0,0
CA06VMK,0,0,0,0,0,0,0,1,0,0
CA06VVK,1,0,0,0,0,0,0,0,0,0
CA074ZK,1,0,0,0,0,0,0,0,1,0
CA0778K,1,0,0,0,0,0,0,0,0,0
CA07AWK,1,0,0,0,0,0,0,0,0,0
CA07J6K,1,0,0,0,0,0,0,0,0,0
CA07JEK,1,0,0,0,0,0,0,0,0,0
CA07LDK,1,1,0,0,1,0,0,0,0,0
CA08H8K,1,0,0,0,0,0,0,0,0,0
CA08IAK,1,0,0,0,0,0,1,0,1,0
CA08ORK,1,0,0,0,0,0,0,0,0,0
CA094GK,1,0,0,0,0,0,0,0,0,0
CA094HK,1,0,0,0,0,0,0,0,0,0
CA09CDK,1,0,0,0,0,0,0,0,0,0
CA09DRK,1,0,1,0,0,0,0,0,0,0
CA09TRK,1,0,1,0,0,0,0,0,1,0
CA09YLK,1,0,0,1,1,0,0,0,0,0
CA0A03K,1,0,0,0,0,0,0,0,0,0
CA0A5AK,1,0,1,1,0,0,0,0,0,0
CA0A8LK,1,0,0,0,0,0,0,0,0,0
CA0AFXK,0,0,1,0,0,0,0,0,0,0
CA0BCMK,1,0,0,1,0,0,1,0,1,0
CA0BEAK,1,0,0,0,0,0,0,0,0,0
CA0C0DK,1,0,0,0,0,0,0,0,0,0
CA0C26K,1,0,1,0,0,0,0,0,0,0
CA0C38K,1,0,0,0,0,0,0,0,0,0
CA0C3VK,1,0,1,0,0,1,0,0,0,0
CA0CLVK,1,0,0,0,0,0,0,0,0,0
CA0CNVK,1,1,1,0,0,0,0,0,0,0
CA0CZRK,1,0,0,0,0,0,0,0,0,0
CA0D3OK,1,0,0,0,0,0,0,0,0,0
CA0DGDK,1,0,0,0,0,0,1,0,0,0
CA0DI4K,1,0,0,0,0,0,0,0,0,0
CA0DJ6K,1,0,0,0,0,0,0,0,0,0
CA0DREK,1,0,0,0,1,0,0,0,0,0
CA0DX9K,1,0,0,0,1,0,0,0,0,0
CA0DZEK,1,1,0,0,1,0,1,0,0,0
CA0ED1K,1,0,0,0,0,0,0,0,0,0
CA0EJ0K,1,0,0,0,0,0,0,0,0,0
CA0EJYK,1,1,0,0,0,0,0,0,0,0
CA0EKSK,1,0,0,0,0,0,0,0,0,0
CA0EWBK,1,0,1,0,0,0,0,0,0,0
CA0EY8K,1,0,0,0,0,0,0,0,0,0
CA0EYNK,1,0,0,0,0,0,0,0,0,0
CA0F14K,1,1,1,0,1,0,0,0,0,0
CA0F2UK,0,0,0,0,0,0,0,0,0,0
CA0F4KK,1,0,0,0,0,0,0,0,0,0
CA0F91K,1,0,0,0,0,0,0,0,0,0
CA0F9IK,0,0,0,0,0,1,0,0,0,0
CA0FBJK,1,0,1,0,1,0,0,0,0,0
CA0FBYK,1,0,0,0,0,0,0,0,0,0
CA0FDBK,1,0,0,0,0,0,0,0,0,0
CA0FERK,1,0,0,0,0,0,0,0,0,0
CA0G28K,1,0,0,0,0,0,0,0,0,0
CA0G2TK,1,0,1,0,0,0,0,0,0,0
CA0GL0K,1,0,0,0,0,0,0,0,0,0
CA0GNBK,1,0,0,0,0,0,0,0,0,0
CA0GQ2K,1,0,0,0,0,0,0,0,0,0
CA0GXLK,1,0,1,0,0,0,0,0,0,0
CA0H0YK,1,0,1,0,0,0,0,0,0,0
CA0H6AK,0,0,0,0,0,0,0,0,0,0
CA0H86K,1,0,0,0,0,0,0,0,0,0
CA0H87K,1,0,0,0,0,0,0,0,0,0
CA0HBZK,1,0,0,0,0,1,0,0,0,0
CA0HCFK,1,1,0,0,1,0,0,0,0,0
CA0HK1K,1,0,0,0,0,0,1,0,1,0
CA0HKYK,1,0,0,0,0,0,0,0,0,0
CA0HR2K,1,0,0,0,0,0,0,0,0,0
CA0HS0K,1,0,1,1,0,0,0,0,0,0
CA0HYFK,1,0,0,0,0,0,0,1,0,0
CA0I43K,1,0,0,0,0,0,0,0,0,0
CA0I46K,0,0,0,0,0,0,0,0,0,0
CA0IDXK,1,0,0,0,0,0,0,0,0,0
CA0IGZK,1,0,0,0,0,0,0,0,0,0
CA0IPTK,1,0,0,1,0,0,0,0,1,0
CA0IQOK,1,0,0,0,0,0,0,0,0,0
CA0IUCK,1,0,0,0,1,0,0,0,0,0
CA0J1EK,1,0,0,0,0,0,0,0,0,0
CA0JM0K,1,0,0,0,0,0,0,0,1,0
CA0JNRK,1,0,0,0,0,0,0,0,0,0
CA0JPQK,1,0,0,0,0,1,0,0,1,0
CA0JVTK,1,0,0,0,0,0,0,1,0,0
CA0KNNK,1,0,1,0,0,0,1,0,0,0
CA0KTWK,1,0,0,0,0,0,0,0,0,0
CA0KYDK,1,0,0,1,0,0,0,0,1,0
CA0L20K,1,0,0,0,0,0,0,0,0,0
CA0L53K,1,0,0,0,0,0,0,0,0,0
CA0L5CK,1,0,0,0,0,0,0,0,1,0
CA0LBMK,0,0,0,0,0,1,0,0,0,0
CA0LDPK,1,0,0,0,0,1,0,0,0,0
CA0LHFK,0,0,0,0,0,1,0,0,0,0
CA0LP7K,1,0,0,0,0,0,0,0,0,0
CA0LY7K,1,0,0,0,0,0,0,0,0,0
CA0M2WK,1,0,0,0,0,0,0,0,0,0
CA0MBFK,1,0,0,0,0,0,0,0,0,0
CA0MECK,1,0,0,0,0,0,0,0,0,0
CA0MINK,1,0,0,0,0,0,0,0,1,0
CA0MMUK,1,0,0,0,0,0,0,0,0,0
CA0MYSK,1,0,0,0,0,0,1,0,0,0
CA0N8JK,0,0,0,0,0,0,0,0,0,0
CA0NA4K,1,0,0,0,0,0,0,0,0,0
CA0NB2K,1,0,1,0,0,0,0,0,0,0
CA0NB7K,0,0,0,0,0,0,0,0,0,0
CA0NBQK,1,0,0,0,0,0,1,0,0,0
CA0NGZK,1,0,0,0,0,0,0,0,0,0
CA0NP6K,1,0,0,0,0,0,0,0,0,0
CA0NTEK,0,0,0,0,0,0,0,0,0,0
CA0NTYK,1,0,1,0,0,0,0,0,0,0
CA0O29K,1,0,0,0,0,0,0,0,0,0
CA0O9MK,1,0,0,0,0,0,1,0,1,0
