id,flag_a,flag_b,flag_c,flag_d,flag_e,flag_f,flag_g,flag_h,flag_i,flag_j
C02361K,1,0,0,0,0,0,0,0,0,0
C07805K,0,0,0,0,0,0,0,0,0,0
C09528K,1,0,0,1,0,0,0,0,0,0
C10024K,1,0,0,0,0,0,0,0,0,0
C14113K,1,0,1,1,1,0,0,0,0,0
C18576K,1,0,0,0,0,0,0,0,0,0
C23128K,1,0,0,0,0,0,0,0,0,0
C24124K,1,0,1,0,0,0,0,0,0,0
C26932K,1,0,0,0,0,0,0,0,0,0
C28429K,0,0,0,0,0,0,0,0,0,0
C38635K,1,0,0,0,1,0,0,0,0,0
C38856K,1,0,0,0,0,0,0,0,0,0
C40592K,0,0,0,0,0,0,0,0,0,0
C42710K,1,0,1,0,0,0,0,0,0,0
C46329K,1,0,1,0,0,0,0,0,0,0
C46913K,1,0,0,0,1,0,0,0,0,0
C47885K,1,0,0,1,0,0,0,0,0,0
C48568K,1,0,1,0,0,0,0,0,0,0
C49133K,1,0,0,0,0,0,0,0,0,0
C49273K,1,0,1,1,0,0,0,1,0,0
C49762K,1,0,0,0,0,0,0,0,0,0
C50447K,1,0,0,0,0,0,0,0,0,0
C50675K,1,1,0,0,1,0,0,0,0,0
C51167K,1,0,0,1,0,0,0,0,0,0
C51573K,1,1,0,0,1,0,0,0,0,0
C52864K,1,0,0,0,0,0,0,0,0,0
C54781K,1,1,0,0,0,0,0,0,0,0
C54855K,1,0,0,0,0,0,0,0,0,0
C54908K,1,0,0,0,0,0,0,0,0,0
C55800K,1,0,0,0,0,0,0,0,0,0
C55900K,1,0,0,0,0,0,0,0,0,0
C56172K,1,1,0,0,0,0,0,0,0,0
C57151K,1,0,0,0,0,0,0,0,0,0
C57490K,1,0,0,0,0,0,0,0,0,0
C57624K,1,0,1,0,0,0,0,0,0,0
C57792K,1,0,0,0,0,0,0,0,0,0
C58454K,1,0,0,0,0,0,0,0,0,0
C58682K,1,0,0,0,0,0,0,0,0,0
C60612K,0,0,0,0,0,0,0,0,0,0
C61115K,1,0,1,0,0,0,0,0,0,0
C62252K,1,0,0,1,0,0,0,1,0,0
C63272K,1,0,0,1,0,0,0,0,0,0
C65795K,1,0,0,0,0,0,0,0,0,0
C65894K,1,0,0,0,1,0,0,0,0,0
C67641K,1,0,0,0,0,0,0,0,0,0
C67676K,1,0,0,0,0,0,0,0,0,0
C68025K,1,0,0,0,0,0,0,0,0,0
