id,flag_a,flag_b,flag_c,flag_d,flag_e,flag_f,flag_g,flag_h,flag_i,flag_j
C00718K,1,0,0,0,0,0,0,0,0,0
C01401K,1,0,0,0,0,0,0,0,0,0
C02692K,1,0,1,0,0,0,0,0,0,0
C19731K,1,0,0,0,0,0,0,0,0,0
C21430K,1,0,0,0,0,0,0,0,0,0
C35606K,1,0,0,0,0,0,0,1,0,0
C36277K,1,0,0,1,1,0,0,1,0,0
C36496K,1,0,0,1,1,0,0,0,0,1
C38469K,1,0,1,1,0,0,0,0,0,0
C44345K,1,0,0,0,0,0,0,0,0,0
C47688K,1,0,0,0,1,0,0,0,0,0
C47918K,1,0,0,0,0,0,0,0,0,0
C53122K,1,0,0,0,0,0,0,0,0,0
C55874K,1,0,0,0,0,0,0,0,0,0
C56263K,1,0,0,0,0,0,0,0,0,0
C58119K,1,0,0,0,0,0,0,0,0,0
C59265K,1,0,0,0,0,0,0,0,0,0
C61298K,1,0,0,0,0,0,0,0,0,0
C61964K,1,0,1,0,0,0,0,0,0,0
C65341K,1,0,0,0,0,0,0,0,0,0
C65711K,1,0,0,0,0,0,0,0,0,0
C66138K,1,1,0,0,1,0,0,0,0,0
C66592K,1,1,1,1,1,0,0,0,0,0
C67810K,1,0,0,0,0,0,0,0,0,0
C70103K,1,0,1,0,0,0,0,0,0,0
CA005YK,1,0,0,0,1,0,0,0,0,0
CA006CK,1,0,0,0,0,0,0,0,0,0
CA00CVK,1,1,0,1,0,0,0,0,0,0
CA00DCK,1,0,0,0,0,0,0,0,0,0
CA00UGK,1,0,0,0,0,0,0,0,1,0
CA0141K,1,0,0,0,0,0,0,0,0,0
CA01ELK,1,0,1,0,0,0,0,0,0,0
CA01L5K,1,0,0,1,0,0,0,0,0,0
CA01P1K,1,0,1,0,0,0,0,0,0,0
CA020WK,1,0,0,0,0,0,0,0,0,0
CA021PK,1,0,0,0,0,0,0,0,0,0
CA0221K,1,0,0,0,0,0,0,0,0,0
CA027RK,1,0,0,0,0,0,0,0,0,0
CA02C1K,0,0,0,0,0,1,0,0,0,0
CA02HIK,1,0,0,0,0,1,0,0,0,0
CA02TAK,1,0,0,0,0,0,0,0,0,0
CA034FK,1,0,1,0,0,0,0,0,0,0
CA036TK,1,0,0,0,0,0,0,0,1,0
CA03LXK,1,1,0,0,0,0,0,0,0,0
CA04AMK,1,0,0,0,0,0,0,0,0,0
CA05ACK,1,0,0,0,0,0,0,0,0,0
CA05DYK,1,0,0,0,0,0,0,0,0,0
CA05GGK,1,0,0,0,0,0,0,0,0,0
CA05GJK,1,0,0,0,0,0,0,0,0,0
CA05N3K,1,0,0,0,0,0,1,0,0,0
CA05OOK,1,0,0,0,0,0,0,0,0,0
CA05ZUK,1,0,0,0,0,0,0,0,0,0
CA06CBK,1,0,0,0,0,0,0,0,0,0
CA06STK,1,0,0,0,0,0,0,0,0,0
CA0700K,1,1,0,0,0,0,0,0,0,0
CA078SK,1,0,0,0,0,0,0,0,0,0
CA07E1K,1,0,0,0,0,0,0,0,0,0
CA07O7K,1,0,1,1,0,0,0,0,0,0
CA085ZK,0,0,0,0,0,0,0,0,0,0
CA08DEK,1,0,0,0,0,0,0,0,0,0
CA08IBK,1,0,0,0,0,0,0,0,0,0
CA09L3K,1,1,0,0,0,0,0,0,0,0
CA09MZK,1,0,0,0,0,0,0,0,0,0
CA09ZTK,1,0,0,0,0,0,0,0,0,0
CA0A77K,0,0,0,0,0,0,0,0,0,0
CA0A80K,1,0,0,0,0,0,0,0,0,0
CA0AHSK,1,0,0,0,0,0,0,0,0,0
CA0AUHK,1,0,0,0,0,0,0,0,0,0
CA0B3GK,1,0,0,0,0,0,0,0,0,0
CA0B5ZK,1,0,1,0,1,0,0,0,0,0
CA0BCAK,0,0,0,0,0,0,0,0,0,0
CA0BGFK,1,0,0,0,0,0,0,0,0,0
CA0C1VK,1,0,0,0,0,0,0,0,0,0
CA0C34K,1,0,0,0,0,0,0,0,0,0
CA0C8QK,1,0,0,0,0,0,0,0,0,0
CA0COUK,1,0,0,0,0,0,0,0,0,0
CA0CSHK,1,0,0,0,0,0,0,0,0,0
CA0CUVK,1,1,0,0,0,0,0,0,0,0
CA0CVVK,1,0,1,0,0,1,0,0,0,0
CA0D1LK,1,1,0,0,0,0,0,0,0,0
CA0DDOK,1,0,0,0,0,0,0,0,0,0
CA0DTKK,0,0,0,0,0,0,0,0,0,0
CA0DU5K,1,0,0,0,0,0,0,0,0,0
CA0DVEK,1,0,1,0,0,0,0,0,0,0
CA0EAYK,0,0,0,0,0,0,0,0,0,0
CA0EBDK,1,0,0,0,0,0,0,0,0,0
CA0EHPK,1,0,0,0,0,0,0,0,1,0
CA0ELNK,1,0,0,0,0,0,0,0,0,0
CA0ET7K,1,0,0,0,0,0,0,0,0,0
CA0F46K,1,0,0,1,0,0,0,0,0,0
CA0F4ZK,1,0,0,0,0,0,0,0,1,0
CA0F5WK,1,0,0,0,0,0,0,0,0,0
CA0F73K,1,0,0,0,0,0,0,0,1,0
CA0FJLK,1,0,0,0,1,0,0,0,0,0
CA0FLHK,1,0,0,0,0,0,0,0,0,0
CA0FWMK,1,0,0,0,0,0,0,0,0,0
CA0G6HK,1,0,0,1,0,0,0,0,0,0
CA0GC8K,1,0,0,0,0,0,0,0,0,0
CA0GCQK,1,0,0,0,0,0,0,0,0,0
CA0GS8K,1,0,1,0,0,0,0,0,0,0
CA0HCOK,1,0,0,0,0,0,0,0,0,0
CA0HE7K,1,0,0,0,0,0,0,0,0,0
CA0HFCK,1,0,0,0,0,0,0,0,0,0
CA0HNKK,1,0,0,0,0,0,0,0,0,0
CA0HP7K,1,0,0,0,0,0,0,0,0,0
CA0HP8K,1,0,1,1,0,0,0,0,0,0
CA0HQ0K,1,0,0,0,0,0,0,0,0,0
CA0HS6K,0,0,0,0,0,0,0,0,0,0
CA0I0JK,1,0,0,0,0,0,0,0,0,0
CA0I1VK,1,0,0,0,0,0,0,0,0,0
CA0I3OK,1,0,0,0,0,0,0,0,0,0
CA0I4AK,1,0,0,0,0,0,0,0,0,0
CA0I9TK,1,0,0,0,0,0,0,0,0,0
CA0IJSK,1,0,0,1,0,0,0,0,0,0
CA0IY5K,1,0,0,0,0,0,0,0,0,0
CA0J1UK,0,0,0,0,0,0,0,0,0,0
CA0JRKK,1,0,0,0,0,0,0,0,0,0
CA0JTHK,1,0,0,0,0,0,0,0,0,0
CA0JV6K,1,0,0,0,0,0,0,0,0,0
CA0JV9K,1,0,0,0,0,0,0,0,0,0
CA0JYJK,1,0,0,0,0,0,0,0,0,0
CA0K0CK,1,0,0,0,0,0,0,0,0,0
CA0KYFK,1,0,0,0,0,1,0,0,1,0
CA0KZ6K,1,0,0,0,0,0,0,0,0,0
CA0LOXK,1,0,0,0,0,0,0,0,0,0
CA0M4EK,1,0,0,0,0,0,0,0,0,0
CA0M4UK,1,0,0,0,0,0,1,0,0,0
CA0M6XK,1,0,0,1,0,0,0,0,0,0
CA0M7ZK,1,0,0,0,0,0,0,0,0,0
CA0M9PK,1,0,1,0,0,0,0,0,0,0
CA0MBCK,1,0,0,0,1,0,0,0,0,0
CA0MJFK,1,0,1,0,0,0,0,0,0,0
CA0N8GK,1,0,0,0,0,0,0,1,0,0
CA0NM7K,1,0,0,0,0,0,0,0,0,0
CA0NO3K,1,0,0,1,0,0,0,0,0,0
CA0NPPK,1,0,0,0,0,0,0,0,0,0
CA0NZBK,1,0,0,0,0,0,0,0,0,0
CA0O1ZK,1,0,0,0,0,0,0,0,0,0
CA0O5LK,1,0,0,0,0,0,0,0,0,0
CA0OPNK,1,0,0,0,0,0,0,0,0,0
CA0OYVK,1,0,0,0,0,0,0,0,0,0
CA0P2OK,1,0,0,0,0,0,0,0,0,0
CA0PYXK,1,0,1,0,0,0,0,0,0,0
CA0PZMK,1,0,0,0,0,0,0,0,1,0
CA0Q7YK,1,0,0,0,0,0,0,0,0,0
CA0Q9GK,1,0,0,0,0,0,0,0,0,0
CA0QENK,1,0,0,0,0,0,0,0,0,0
CA0QJFK,1,0,0,0,0,0,0,0,0,0
CA0QWBK,1,0,0,0,0,0,0,0,0,0
CA0QY7K,1,0,0,0,0,0,0,0,0,0
CA0RFUK,1,0,0,0,0,0,0,0,0,0
CA0RLKK,1,0,0,0,0,0,0,0,0,0
CA0RZUK,1,0,0,0,0,0,0,0,0,0
CA0S96K,0,0,0,0,0,0,0,0,0,0
CA0SHHK,1,1,0,0,0,0,0,0,0,0
CA0TOXK,1,0,0,1,0,0,0,0,0,0
CA0U0WK,1,0,1,0,0,1,0,0,1,0
CA0UITK,1,0,0,0,0,0,0,0,0,0
CA0UMAK,1,0,0,0,1,0,0,0,0,0
CA0V09K,1,0,0,0,0,0,0,0,0,0
CA0V3FK,1,0,0,0,0,0,0,0,0,0
CA0VCYK,0,0,0,0,0,0,0,0,0,0
CA0VJQK,1,0,0,0,0,0,0,0,0,0
CA0VVJK,1,0,0,0,0,0,0,0,0,0
CA0W4ZK,1,0,0,0,1,0,0,0,0,0
CA0W7BK,1,0,0,0,0,0,0,0,0,0
CA0WJ8K,1,0,0,1,0,0,0,0,0,0
CA0WQ2K,1,1,0,0,0,0,0,0,0,0
CA0XQ7K,0,0,0,0,0,0,0,0,0,0
CA0XT3K,1,0,1,0,0,0,0,0,0,0
CA0Y47K,1,0,0,0,0,0,0,0,0,0
CA0Y90K,1,0,1,0,0,0,0,0,0,0
CA0Y9ZK,1,0,0,0,0,0,0,0,0,0
CA0YDFK,1,0,0,0,0,0,0,0,0,0
CA0YHDK,1,0,0,0,0,0,0,0,0,0
CA0YIYK,1,0,0,0,0,0,1,0,0,0
CA0Z1MK,1,0,1,0,0,0,0,0,0,0
CA0ZBRK,1,0,0,0,0,0,0,0,0,0
CA0ZF3K,1,0,0,0,0,0,0,0,0,0
CA0ZFEK,1,0,1,0,1,0,0,0,0,0
CA0ZKHK,1,0,1,0,0,0,0,0,0,0
CA0ZKSK,1,0,0,0,0,0,0,0,0,0
CA0ZPSK,1,1,0,0,0,0,0,0,0,0
CA0ZX9K,1,0,1,1,0,0,0,0,0,0
CA0ZYIK,1,0,0,0,0,0,0,0,0,0
CA103ZK,1,0,1,0,0,0,0,0,0,0
CA108KK,1,0,0,0,1,0,0,0,0,0
CA10ITK,1,0,0,0,0,0,0,0,0,0
CA10Y5K,1,0,1,0,0,0,0,0,0,0
CA1146K,1,0,0,0,0,0,0,0,0,0
CA119CK,1,0,1,0,0,0,0,0,0,0
CA11D4K,1,0,0,0,0,0,0,0,0,0
CA11F6K,0,0,0,0,0,0,0,0,0,0
CA11GHK,1,0,0,0,0,0,0,0,0,0
CA11J7K,0,0,0,0,0,0,0,0,0,0
CA11PFK,1,0,0,0,0,0,0,0,0,0
CA11Y2K,1,0,0,0,0,0,0,0,0,0
CA12H4K,1,0,0,0,0,0,0,0,0,0
CA12L8K,1,0,1,1,1,0,0,0,0,0
CA12LFK,1,1,0,0,0,0,1,0,1,0
CA12UIK,0,0,0,0,0,0,0,0,0,0
CA12V6K,1,0,0,0,0,0,0,0,0,0
CA13ARK,1,0,0,0,0,0,0,0,0,0
CA13GDK,1,0,0,0,0,0,0,0,0,0
CA13KLK,1,0,0,0,0,0,0,0,0,0
CA13PPK,1,0,0,0,0,0,0,0,0,0
CA13RZK,1,0,0,0,0,0,0,0,0,0
CA13ZMK,1,0,1,0,0,0,0,0,0,0
CA149SK,1,0,0,1,0,0,0,0,0,0
CA14BDK,1,0,0,0,0,0,0,0,0,0
CA14EXK,0,0,0,0,0,0,0,0,0,0
CA14GFK,1,0,0,0,0,0,0,0,0,0
CA14TWK,1,1,0,0,1,0,1,0,0,0
CA1569K,1,0,1,0,0,0,0,0,0,0
CA15LIK,1,0,0,0,0,0,0,0,0,0
CA15NCK,0,0,0,0,0,0,0,0,0,0
CA15XXK,1,0,0,0,0,0,0,0,0,0
CA168XK,1,1,0,0,0,0,0,0,0,0
CA16HYK,1,0,0,0,0,0,0,0,0,0
CA16K1K,1,0,0,0,0,0,0,0,0,0
CA17CPK,1,0,0,0,0,0,0,0,0,0
CA17QLK,1,0,0,0,0,0,0,0,0,0
CA17TDK,1,0,0,0,0,0,0,0,0,0
CA18MNK,1,0,0,0,0,0,0,0,0,0
CA18MOK,1,0,0,0,0,0,0,0,0,0
CA18MPK,1,0,0,0,0,0,0,0,0,0
CA18Y9K,1,0,0,0,0,0,0,0,0,0
CA1A0IK,1,0,0,1,0,0,1,0,1,0
CA1A5HK,1,1,0,0,1,0,0,0,0,0
CA1AEDK,1,0,0,0,0,0,0,0,0,0
CA1AP9K,0,0,0,0,0,0,0,0,0,0
CA1B1IK,1,0,0,0,0,0,0,0,0,0
CA1B8MK,1,0,0,0,0,0,0,0,0,0
CA1B93K,1,0,0,0,0,0,0,0,1,0
CA1BE1K,1,0,0,0,0,0,0,0,0,0
CA1BFPK,1,0,0,0,0,0,0,0,0,0
CA1BHKK,1,0,1,0,0,0,0,1,1,0
CA1BM7K,1,0,0,0,1,0,0,0,0,0
CA1BO8K,1,0,0,0,0,0,0,0,0,0
CA1BVMK,1,0,0,0,0,0,0,0,1,0
CA1C66K,1,0,0,0,0,0,0,0,0,0
CA1CPOK,1,0,0,0,0,0,0,0,0,0
CA1CUKK,1,0,0,0,0,0,0,0,0,0
CA1CVWK,1,0,0,0,0,0,0,0,0,0
CA1CWZK,1,0,0,0,0,0,0,0,0,0
CA1DADK,1,0,0,0,0,0,0,0,0,0
CA1DGLK,1,0,0,0,0,0,0,0,0,0
CA1DHXK,1,0,0,0,0,0,0,0,0,0
CA1EAFK,1,0,0,0,0,0,1,0,0,0
CA1EAHK,1,0,1,0,0,0,0,0,0,0
CA1EAQK,1,0,0,0,0,0,0,0,0,0
CA1EUJK,1,0,0,0,0,0,0,0,0,0
CA1F05K,1,0,1,1,1,0,0,0,0,0
CA1F5RK,1,0,0,0,0,0,0,0,0,0
CA1F8PK,1,0,0,0,0,0,0,0,1,0
CA1FEOK,1,1,0,0,0,0,0,0,0,0
CA1FFUK,1,0,0,0,0,0,0,0,0,0
CA1FQ2K,1,0,0,0,0,0,0,0,0,0
CA1FS3K,1,0,0,0,0,0,0,0,0,0
CA1G75K,1,0,0,0,0,1,1,0,0,0
CA1GAXK,1,0,0,0,1,0,0,0,0,0
CA1GW5K,1,0,0,0,1,0,0,0,0,0
CA1HO7K,1,0,1,1,0,0,0,0,0,0
CA1HZEK,1,1,0,1,0,0,0,0,0,0
CA1I82K,1,0,0,0,0,0,0,0,0,0
CA1ICJK,1,0,0,0,0,0,0,0,0,0
CA1IE4K,1,0,0,0,0,0,0,0,0,0
CA1IWBK,1,0,0,0,0,0,0,0,0,0
CA1JNOK,1,0,0,0,0,1,0,0,0,0
CA1KAZK,1,0,0,0,0,0,0,0,0,0
CA1KXGK,1,0,0,0,0,0,0,0,0,0
CA1LEIK,1,0,0,0,0,0,0,0,0,0
CA1LKOK,1,0,0,0,0,0,0,0,0,0
CA1LPGK,1,0,1,0,0,0,0,0,0,0
CA1LVVK,1,0,0,0,0,0,0,0,0,0
CA1LZ2K,1,0,0,0,0,0,0,0,0,0
CA1MD5K,1,0,0,0,0,0,0,0,0,0
CA1MP8K,1,0,0,0,0,1,0,0,0,0
CA1N1MK,1,0,0,0,0,0,0,0,0,0
CA1NOGK,1,0,0,0,0,0,0,0,0,0
